probe	gene	location	loc_category
cg05723825	TEKT4	1stExon	Promoter
cg05724065	PHKG1	1stExon;5'UTR	Promoter
cg05725452	SDF2L1	1stExon	Promoter
cg05726109	SEPT5;GP1BB	Body;TSS1500	Promoter
cg05727959	C12orf48	5'UTR	Promoter
cg05728656	C6orf47	1stExon;5'UTR	Promoter
cg05729093	IL4R	TSS1500	Promoter
cg05732130	GINS3	TSS200	Promoter
cg05732530	DUSP2	1stExon	Promoter
cg05739825	EI24	5'UTR	Promoter
cg05741384	ODC1	TSS1500	Promoter
cg05742308	SEMA3A	TSS200	Promoter
cg05743054	MLF1	TSS200	Promoter
cg05745457	TKTL2	1stExon	Promoter
cg05747424	WDR89	TSS1500;1stExon;5'UTR	Promoter
cg05749577	KIF23	1stExon;5'UTR	Promoter
cg05749792	DGAT2L6	Body	Body
cg05750321	CGNL1	TSS1500	Promoter
cg05751159	TSGA14	TSS200	Promoter
cg05751979	TCEB1	5'UTR	Promoter
cg05754589	HNRPA1L-2;HNRNPA1;CBX5	TSS1500;TSS200	Promoter
cg05754631	GAB1	Body	Body
cg05755354	FRMD4A	1stExon;5'UTR	Promoter
cg05755779	COLEC10	1stExon	Promoter
cg05755837	PMPCB	TSS1500	Promoter
cg05759269	CDKN1A	TSS1500	Promoter
cg05761032	CCPG1	TSS1500;TSS200	Promoter
cg05764061	PPM1B	TSS200	Promoter
cg05764376	LRRC49;THAP10	TSS1500;1stExon	Promoter
cg05764607	INTS12;GSTCD	TSS1500;1stExon;5'UTR	Promoter
cg05766425	LUC7L3	TSS200	Promoter
cg05767404	C1orf150	Body	Body
cg05768141	KCNJ10	1stExon;5'UTR	Promoter
cg05769161	B4GALNT3	TSS1500	Promoter
cg05769169	EGLN3	1stExon	Promoter
cg05772663	HTR2C	TSS200	Promoter
cg05773628	NCKAP1	TSS1500	Promoter
cg05774801	SFRP2	1stExon	Promoter
cg05776763	DLST	TSS1500	Promoter
cg05777319	ARL6	5'UTR	Promoter
cg05778847	PPP1R14A	Body	Body
cg05779272	B4GALT1	TSS1500	Promoter
cg05780311	STAT5B	TSS1500	Promoter
cg05780616	SNRPF	1stExon;5'UTR	Promoter
cg05782975	NGFRAP1	TSS1500;5'UTR;1stExon	Promoter
cg05786601	AR	1stExon;5'UTR	Promoter
cg05786809	CKB	TSS1500	Promoter
cg05788437	FYTTD1;KIAA0226	TSS1500;5'UTR;1stExon	Promoter
cg05788638	SERPINA10	1stExon;5'UTR	Promoter
cg05790999	HS1BP3	1stExon	Promoter
cg05793077	GSN	5'UTR	Promoter
cg05795157	PIAS3	Body	Body
cg05795313	ZNF641	TSS1500	Promoter
cg05797656	CCDC47;DDX42	TSS1500	Promoter
cg05798972	MED1	Body	Body
cg05799317	C6orf118	TSS1500	Promoter
cg05800321	LY6D	Body	Body
cg05801573	SLITRK4	1stExon;5'UTR	Promoter
cg05801648	SYK	Body;5'UTR	Promoter
cg05806233	GNAI1	TSS1500	Promoter
cg05807444	VPS28;NFKBIL2	Body;TSS1500	Promoter
cg05807768	ST7L;CAPZA1	Body;TSS1500	Promoter
cg05807991	TRAM1L1	TSS200	Promoter
cg05812599	CLPB	TSS1500	Promoter
cg05813084	EFNA3	Body	Body
cg05815893	C17orf80;FAM104A	TSS1500;1stExon;5'UTR	Promoter
cg05815906	RAB33B	TSS1500	Promoter
cg05817232	MARK4	Body	Body
cg05819268	CACNG1	1stExon;5'UTR	Promoter
cg05820087	ATP13A4	1stExon	Promoter
cg05822100	CDH6	5'UTR	Promoter
cg05822532	ELN	1stExon	Promoter
cg05823029	ATP4B	TSS1500	Promoter
cg05824432	DCI	Body	Body
cg05824484	IL17RA	1stExon;5'UTR	Promoter
cg05824762	ZER1	5'UTR	Promoter
cg05825950	CR1	1stExon;5'UTR	Promoter
cg05826823	CIZ1;DNM1	Body;TSS1500	Promoter
cg05828624	REG1A	5'UTR	Promoter
cg05829479	C6orf141	TSS200	Promoter
cg05830416	C9orf100	Body	Body
cg05832051	MYADM	TSS200	Promoter
cg05832487	C16orf59	TSS1500	Promoter
cg05836145	SP8	TSS1500	Promoter
cg05837075	ERO1L	1stExon	Promoter
cg05839235	NPR3	1stExon	Promoter
cg05840031	PAX6	5'UTR	Promoter
cg05840553	LRSAM1;RPL12	Body;TSS1500	Promoter
cg05843800	SUMF1	1stExon	Promoter
cg05844583	SLC19A3	TSS200	Promoter
cg05845178	IL17RE;IL17RC	TSS1500;3'UTR	Promoter
cg05845357	CBY1;LOC646851	1stExon;TSS200;5'UTR	Promoter
cg05846716	PCSK2	1stExon	Promoter
cg05847778	BBS5	Body	Body
cg05851042	ATP9A	TSS1500	Promoter
cg05851163	DSEL	5'UTR	Promoter
cg05852416	NFKBIA	TSS1500	Promoter
cg05855071	C15orf29	5'UTR	Promoter
cg05856884	SMPX	TSS200	Promoter
cg05856931	MSI2	TSS1500	Promoter
cg05857825	MAPRE1	5'UTR	Promoter
cg05859842	FRMPD2	TSS1500	Promoter
cg05860890	KCNV1	1stExon;5'UTR	Promoter
cg05861567	MLC1	1stExon;5'UTR	Promoter
cg05861661	FAM98B	TSS200	Promoter
cg05862431	BUD13	TSS1500	Promoter
cg05863612	DNMBP	Body	Body
cg05868316	FBXW9	TSS200	Promoter
cg05868799	NCOA2	TSS1500	Promoter
cg05869585	PMM2;TMEM186	Body;TSS1500	Promoter
cg05869964	C5orf13	Body	Body
cg05871136	UNC5B	TSS1500	Promoter
cg05871607	RPA2	TSS200	Promoter
cg05872485	PTGES3	Body	Body
cg05873268	TPSAB1	TSS1500	Promoter
cg05874450	POPDC3	5'UTR	Promoter
cg05874478	PSME2;RNF31	TSS1500;1stExon	Promoter
cg05876083	NUDT16L1	TSS1500	Promoter
cg05876094	CACYBP	1stExon;5'UTR	Promoter
cg05876918	PIP4K2C	1stExon	Promoter
cg05877109	BCL2L2	TSS1500	Promoter
cg05879334	ACAT2	1stExon	Promoter
cg05879919	ANKRD9	TSS1500	Promoter
cg05881135	SYNM	TSS1500	Promoter
cg05881762	UBE3A	TSS1500	Promoter
cg05882522	EHD3	TSS200	Promoter
cg05882691	HIST1H3H	TSS200	Promoter
cg05886367	BTNL9	1stExon;5'UTR	Promoter
cg05886626	THBS1	5'UTR	Promoter
cg05887405	OSGIN1	TSS1500	Promoter
cg05889321	ALDH18A1	TSS1500	Promoter
cg05890019	WDFY3;C4orf12	TSS1500;5'UTR	Promoter
cg05894797	PSEN2	5'UTR	Promoter
cg05896682	GALR1	Body	Body
cg05898102	PCDHB10	1stExon;5'UTR	Promoter
cg05898524	LMNA	TSS1500	Promoter
cg05899618	GDF7	TSS1500	Promoter
cg05902852	MAGI2	1stExon	Promoter
cg05903609	PRPF8	5'UTR	Promoter
cg05903630	MRPS27;PTCD2	TSS1500;1stExon	Promoter
cg05905876	SEC11A	TSS200	Promoter
cg05906362	ARHGAP4	TSS1500	Promoter
cg05908775	ZNF211	1stExon;5'UTR	Promoter
cg05909475	ETV3	TSS1500	Promoter
cg05910970	CYP2A6	Body	Body
cg05911610	MRPL3	TSS200	Promoter
cg05912121	TH	1stExon;5'UTR	Promoter
cg05915281	IRF1	TSS200	Promoter
cg05916196	IL19	1stExon	Promoter
cg05917963	CHUK	Body	Body
cg05919661	LMBR1L	1stExon	Promoter
cg05920090	HSPA1A;HSPA1L	TSS1500;TSS200	Promoter
cg05921207	CHRDL1	5'UTR	Promoter
cg05921324	APOA4	TSS200	Promoter
cg05921581	KRT77	TSS1500	Promoter
cg05921699	CD79A	TSS1500	Promoter
cg05922057	CYB5D2;ZZEF1	Body;TSS1500	Promoter
cg05922591	LILRB4	Body	Body
cg05922972	TSPAN3	Body	Body
cg05923056	FOXN3	1stExon;5'UTR	Promoter
cg05923103	RNF11	TSS1500	Promoter
cg05924191	ZNF770	5'UTR	Promoter
cg05924583	TP73	5'UTR	Promoter
cg05927159	WDR1	TSS1500	Promoter
cg05932408	PTGIS	1stExon	Promoter
cg05932936	SERINC3	TSS1500	Promoter
cg05934874	VPS4B	Body	Body
cg05935584	HMGB3	1stExon;5'UTR	Promoter
cg05936800	TNFSF18	TSS1500	Promoter
cg05937182	ST7OT4;ST7;ST7OT1	Body;TSS1500;1stExon	Promoter
cg05937453	SFRP5	TSS200	Promoter
cg05938285	PIGZ	TSS1500	Promoter
cg05938725	NUAK2	TSS200	Promoter
cg05940463	C1orf86	Body;TSS1500	Promoter
cg05940536	ACVR1B	TSS1500	Promoter
cg05941634	CNNM3	TSS1500	Promoter
cg05942574	CACNA1G	TSS1500	Promoter
cg05942970	JAKMIP3	Body	Body
cg05944800	INSIG2	TSS1500	Promoter
cg05945622	YIF1A	TSS1500	Promoter
cg05946081	RBMXL1;CCBL2	5'UTR	Promoter
cg05947740	PHYHIP	1stExon;5'UTR	Promoter
cg05949173	IL1F10	5'UTR	Promoter
cg05949660	MICAL1	TSS1500	Promoter
cg05950276	TMTC4	Body	Body
cg05951993	GYS1;RUVBL2	TSS1500	Promoter
cg05953243	SLC5A12	1stExon;5'UTR	Promoter
cg05953394	PRKAG2	1stExon;5'UTR	Promoter
cg05955224	EID2	TSS200	Promoter
cg05955301	PRELP	TSS1500	Promoter
cg05957518	PSMA3	TSS200	Promoter
cg05958352	RNASE1	TSS1500;5'UTR	Promoter
cg05958582	PKD2L1	TSS200	Promoter
cg05958659	FAM174A	TSS1500	Promoter
cg05959392	C10orf32	TSS200	Promoter
cg05960024	CLOCK	5'UTR	Promoter
cg05961595	APEX2	TSS1500	Promoter
cg05961827	UGT1A7;UGT1A8;UGT1A9;UGT1A10	Body;TSS1500	Promoter
cg05964373	TEX9	TSS200	Promoter
cg05965188	RRP1B;HSF2BP	TSS1500;5'UTR	Promoter
cg05965402	PI4K2B	TSS1500	Promoter
cg05968233	ALKBH7	TSS200	Promoter
cg05970437	KLF16	TSS1500	Promoter
cg05970790	NFATC1	Body;5'UTR	Promoter
cg05973262	NOTCH4	TSS200	Promoter
cg05976074	SLC7A10	Body	Body
cg05978187	SLC39A9;ERH	Body;TSS1500	Promoter
cg05983247	SLTM	1stExon	Promoter
cg05986149	BRIP1	TSS1500	Promoter
cg05989054	GAMT	TSS1500	Promoter
cg05989429	ABCA7	5'UTR	Promoter
cg05990214	SPHK2;RPL18	Body;TSS1500	Promoter
cg05992340	PDE4D	Body;1stExon;5'UTR	Promoter
cg05995267	PRRT2	TSS1500	Promoter
cg05996238	PAGE2	TSS200	Promoter
cg05998244	LONRF2	Body	Body
cg05998426	RIN1	1stExon;5'UTR	Promoter
cg05998983	OIT3	1stExon;5'UTR	Promoter
cg06001166	RPL3L	Body	Body
cg06003187	GUCA2A	Body	Body
cg06005396	HCN2	1stExon	Promoter
cg06005644	UBE2D2	1stExon;5'UTR	Promoter
cg06007645	C1orf175	TSS200	Promoter
cg06011292	MYH10	1stExon;5'UTR	Promoter
cg06015218	GRM1	5'UTR	Promoter
cg06018072	CLN6	TSS200	Promoter
cg06022562	ZNF750;TBCD	Body;1stExon;5'UTR	Promoter
cg06023257	GAB2	TSS1500	Promoter
cg06026755	HAUS2;LRRC57	Body;TSS1500	Promoter
cg06027949	SNX16	TSS1500	Promoter
cg06030619	CORO1A	TSS1500	Promoter
cg06034822	USF1	TSS1500	Promoter
cg06037693	RUNX3	TSS1500	Promoter
cg06038049	CPSF3L;GLTPD1	Body;TSS1500	Promoter
cg06038133	CORO6	Body	Body
cg06039392	MTNR1A	TSS1500	Promoter
cg06039624	ERI2;LOC81691	TSS1500;5'UTR	Promoter
cg06041363	TTC38	TSS1500	Promoter
cg06043042	NEUROG3	TSS200	Promoter
cg06043114	TSPAN2	TSS1500	Promoter
cg06043190	EML4	Body	Body
cg06044117	FAM76B;CEP57	TSS1500;TSS200	Promoter
cg06044899	FAM190A;TMSL3	Body;1stExon;5'UTR	Promoter
cg06044900	GNAS	Body;3'UTR	Body
cg06048973	ACTC1	TSS200	Promoter
cg06049972	UQCRC1	Body	Body
cg06051311	TRIM15	1stExon;5'UTR	Promoter
cg06051662	PDZD4	TSS1500	Promoter
cg06055013	ATRNL1	1stExon	Promoter
cg06058319	PPFIBP1	1stExon;5'UTR	Promoter
cg06058597	NOL10	1stExon;5'UTR	Promoter
cg06059810	RUFY3	Body;1stExon;5'UTR	Promoter
cg06061892	C20orf72;SNX5	Body;TSS1500	Promoter
cg06062132	SENP6	TSS1500	Promoter
cg06063714	GABRD	Body	Body
cg06063729	RASSF1	Body;1stExon;5'UTR	Promoter
cg06066303	MS4A5	1stExon;5'UTR	Promoter
cg06066711	KLHL21	1stExon	Promoter
cg06071083	SLC12A4	1stExon	Promoter
cg06073471	FAM55C	TSS1500;TSS200	Promoter
cg06074920	KRT34	TSS1500	Promoter
cg06076054	C21orf91	5'UTR	Promoter
cg06077733	UBE2D1	1stExon;5'UTR	Promoter
cg06084117	PLXNA4	TSS1500	Promoter
cg06084557	KIAA1409;BTBD7	TSS1500;5'UTR	Promoter
cg06084735	ENY2;NUDCD1	TSS1500;1stExon;5'UTR	Promoter
cg06087537	RNF38	TSS1500;5'UTR;TSS200	Promoter
cg06088032	ZMYND10	TSS200	Promoter
cg06090421	PPM1D	TSS1500	Promoter
cg06090630	TCEB2	Body	Body
cg06090864	FFAR1	1stExon;5'UTR	Promoter
cg06092815	SPHKAP	TSS200	Promoter
cg06093279	MTUS1	1stExon;5'UTR	Promoter
cg06094150	MT1B	TSS200	Promoter
cg06095560	SAE1	TSS1500;TSS200	Promoter
cg06096336	PSMD1;HTR2B	Body;1stExon;5'UTR	Promoter
cg06100291	CLSPN	TSS1500	Promoter
cg06100324	MSLN	5'UTR	Promoter
cg06100991	ELOVL6	Body;1stExon	Promoter
cg06101212	CLDN3	1stExon	Promoter
cg06101225	STIL	TSS200	Promoter
cg06101324	SPRR1A	TSS1500	Promoter
cg06106793	PRCC	TSS1500	Promoter
cg06109724	CDC123;NUDT5	TSS1500;5'UTR	Promoter
cg06110365	TTLL12	TSS1500	Promoter
cg06110728	NELL2	Body;TSS1500	Promoter
cg06111305	RAP2A	1stExon	Promoter
cg06111454	NFATC4	Body	Body
cg06114765	USP25	Body	Body
cg06117855	CLEC3B	1stExon;5'UTR	Promoter
cg06118312	GZMA	1stExon	Promoter
cg06119575	TAL2	1stExon	Promoter
cg06121469	SPG11	TSS1500	Promoter
cg06122080	NGLY1;OXSM	Body;TSS1500;5'UTR	Promoter
cg06123346	ATP4A	1stExon	Promoter
cg06132324	XPO5;POLH	TSS1500;5'UTR;1stExon	Promoter
cg06132342	KRT85	1stExon	Promoter
cg06132694	NDST3	TSS1500	Promoter
cg06134936	HERC4	5'UTR	Promoter
cg06138027	HNRNPK;RMI1	TSS1500;5'UTR	Promoter
cg06139836	EBF3	TSS1500	Promoter
cg06140118	DDX28;DUS2L	TSS1500;1stExon	Promoter
cg06141025	GYS2	1stExon	Promoter
cg06141123	NFE2L2	TSS1500;1stExon;5'UTR	Promoter
cg06142324	HEPACAM	Body	Body
cg06144905	PIPOX	TSS200	Promoter
cg06145308	CNOT4	TSS1500	Promoter
cg06146910	KBTBD6	1stExon;5'UTR	Promoter
cg06147863	SPI1	1stExon;5'UTR	Promoter
cg06148175	ACY3	TSS200	Promoter
cg06148264	SERPINB1	5'UTR	Promoter
cg06150468	BATF3	TSS1500	Promoter
cg06150803	TNFRSF19	TSS1500	Promoter
cg06151165	VSX1	Body	Body
cg06151964	HPN	1stExon;5'UTR	Promoter
cg06154570	HEYL	TSS1500	Promoter
cg06154597	TMEM175;GAK	Body;TSS1500	Promoter
cg06156376	SHOX2	1stExon;5'UTR	Promoter
cg06161738	GALNT11	5'UTR	Promoter
cg06162003	CBX2	1stExon	Promoter
cg06162422	GLA;HNRNPH2	TSS200	Promoter
cg06166767	SFRP1	TSS1500	Promoter
cg06168050	ZNF207	1stExon	Promoter
cg06168324	RBMS1	Body	Body
cg06168449	DPF1	Body;5'UTR	Promoter
cg06171242	TTRAP;ACOT13	TSS1500;5'UTR;1stExon	Promoter
cg06171787	MRPL16	TSS200	Promoter
cg06172871	HP	TSS1500	Promoter
cg06175025	SPTLC2	1stExon;5'UTR	Promoter
cg06177698	GABRQ	TSS1500	Promoter
cg06177968	WDR55	1stExon	Promoter
cg06178072	TRAPPC2L;GALNS	Body;TSS1500	Promoter
cg06183267	AFF3	TSS200	Promoter
cg06185738	SLC17A6	1stExon;5'UTR	Promoter
cg06186808	FITM1	1stExon	Promoter
cg06186861	ZNF501	1stExon;5'UTR	Promoter
cg06186973	YWHAG	TSS1500	Promoter
cg06187947	GULP1	TSS1500	Promoter
cg06188683	ANP32A	TSS200	Promoter
cg06189133	INSL3	Body	Body
cg06189265	SNORD76;SNORD77;SNORD74;SNORD75;GAS5;ZBTB37	Body;TSS1500;TSS200	Promoter
cg06189653	PRR7	TSS1500	Promoter
cg06191076	DIRAS3	TSS200	Promoter
cg06191203	RIF1	5'UTR	Promoter
cg06191990	TSFM	1stExon	Promoter
cg06192619	SLC1A6	1stExon	Promoter
cg06192753	GADD45GIP1	TSS1500	Promoter
cg06193382	FAM54A	1stExon;5'UTR	Promoter
cg06194186	CPO	TSS1500	Promoter
cg06196379	TREM1	TSS1500	Promoter
cg06197006	CRK	TSS1500	Promoter
cg06197492	H19	Body	Body
cg06200013	ATP1B2	1stExon;5'UTR	Promoter
cg06200339	SOX30	1stExon;5'UTR	Promoter
cg06200697	CTNND1	TSS1500	Promoter
cg06201642	ST6GALNAC5	1stExon;5'UTR	Promoter
cg06202984	FANCC	1stExon;5'UTR	Promoter
cg06204948	MARK2	Body;1stExon;5'UTR	Promoter
cg06206626	ASPHD2	5'UTR	Promoter
cg06206628	FRMPD2	1stExon;TSS200;5'UTR	Promoter
cg06207460	AK3	1stExon	Promoter
cg06207804	ARTN	1stExon;5'UTR	Promoter
cg06208111	ITM2A	TSS1500	Promoter
cg06211616	SLC22A18AS;SLC22A18	5'UTR	Promoter
cg06211871	ZNF684	5'UTR	Promoter
cg06212607	ARID4B;GGPS1	TSS200	Promoter
cg06213287	LIX1	1stExon;5'UTR	Promoter
cg06213598	ABCA9	TSS1500	Promoter
cg06214007	GBP6	TSS200	Promoter
cg06216677	TESK1	TSS1500	Promoter
cg06218044	PREP	TSS1500	Promoter
cg06220235	SOCS1	Body	Body
cg06220521	GPR180	1stExon	Promoter
cg06220755	RAI2	5'UTR	Promoter
cg06220958	MYH2	5'UTR	Promoter
cg06222120	TRNT1	5'UTR	Promoter
cg06222851	OGDHL	1stExon;5'UTR	Promoter
cg06225581	ZMAT2	Body	Body
cg06230736	FLJ45983;GATA3	TSS1500;TSS200	Promoter
cg06233473	KPNA5	Body	Body
cg06233503	KCNQ1	Body	Body
cg06233985	HBB	TSS1500	Promoter
cg06235991	L3MBTL2	Body	Body
cg06236061	GLTP	Body	Body
cg06236276	SLC22A2	TSS200	Promoter
cg06236748	INPPL1	TSS200	Promoter
cg06237414	THBS3;MTX1	TSS1500;1stExon	Promoter
cg06238491	LAIR1	1stExon;5'UTR	Promoter
cg06240124	PLK1	TSS200	Promoter
cg06240542	TMEM138;CYBASC3	1stExon;TSS200;5'UTR	Promoter
cg06240849	KIAA0494	TSS200	Promoter
cg06243556	ZSCAN18	Body;1stExon;5'UTR	Promoter
cg06244417	FCN1	1stExon	Promoter
cg06244634	TAS2R4	TSS1500	Promoter
cg06244906	ZIM2	Body	Body
cg06245154	ERCC2	Body	Body
cg06247172	C6orf1	5'UTR	Promoter
cg06248182	ERAL1	TSS1500	Promoter
cg06250108	TMEM169;PECR	1stExon;TSS200	Promoter
cg06251129	SSR2	5'UTR	Promoter
cg06251489	STIM2	TSS1500	Promoter
cg06252382	SLC31A2	Body	Body
cg06252849	AGGF1	TSS200	Promoter
cg06253072	C6orf125	TSS1500	Promoter
cg06253734	ADAM10	TSS200	Promoter
cg06255227	NPBWR2	1stExon	Promoter
cg06255524	DNAJC3	TSS1500	Promoter
cg06258834	KLK7	1stExon;TSS200;5'UTR	Promoter
cg06259570	MMP27	Body	Body
cg06263495	ASCL2	1stExon;5'UTR	Promoter
cg06263943	CACNA1H	TSS1500	Promoter
cg06264060	MCHR1	TSS200	Promoter
cg06268694	CELSR1	1stExon	Promoter
cg06269753	MSC	Body	Body
cg06270401	DYRK4	TSS200	Promoter
cg06273569	PMS2L3	TSS200	Promoter
cg06273903	UBE2A	TSS1500	Promoter
cg06274159	ZFP42	TSS200	Promoter
cg06275635	PGLYRP3	TSS1500	Promoter
cg06276114	BIRC2	TSS1500	Promoter
cg06276653	FAM135B	Body	Body
cg06277277	NR1I3	TSS1500	Promoter
cg06277481	KANK3	TSS200	Promoter
cg06277657	DGKI	TSS1500	Promoter
cg06279414	TRIP11	1stExon;5'UTR	Promoter
cg06281719	GMNN	TSS200	Promoter
cg06281795	CALB1	TSS200	Promoter
cg06282059	UBE2E1	TSS1500	Promoter
cg06282240	CENPJ	1stExon;5'UTR	Promoter
cg06284244	YES1	TSS1500	Promoter
cg06284322	TAF7	TSS1500	Promoter
cg06285340	CYP11A1	TSS1500;1stExon	Promoter
cg06285486	SART1	Body	Body
cg06288351	KCNS1	TSS200	Promoter
cg06289589	ANKRD5	TSS1500	Promoter
cg06290096	PHLDB1	TSS1500	Promoter
cg06291334	SPOP	TSS1500	Promoter
cg06291595	NPC2;ISCA2	TSS1500;TSS200	Promoter
cg06291867	HTR7	1stExon	Promoter
cg06292277	CLCN3	TSS1500	Promoter
cg06295404	SOCS1	TSS1500	Promoter
cg06295856	CALCA	5'UTR	Promoter
cg06296021	CDKL3	5'UTR	Promoter
cg06302803	SNHG4;MATR3	Body;5'UTR	Promoter
cg06303238	SALL4	1stExon;5'UTR	Promoter
cg06305312	AKR7A2;PQLC2	TSS1500;1stExon	Promoter
cg06305609	FAM129C	1stExon;5'UTR	Promoter
cg06306751	F8	TSS200	Promoter
cg06307169	CASC3	1stExon;5'UTR	Promoter
cg06307422	RNF111	1stExon;5'UTR	Promoter
cg06307601	FAM49B	TSS1500	Promoter
cg06310844	PDCD5	Body	Body
cg06311778	TENC1	TSS1500;5'UTR	Promoter
cg06312477	PRSS38	Body	Body
cg06319579	C17orf44	Body	Body
cg06320982	SLC38A7	TSS200	Promoter
cg06321883	COL19A1	5'UTR	Promoter
cg06323290	HK1	5'UTR	Promoter
cg06323427	PDCD10;SERPINI1	TSS1500;1stExon;5'UTR	Promoter
cg06324048	GNASAS;GNAS	TSS1500;3'UTR	Promoter
cg06324094	JTB	TSS200	Promoter
cg06324671	KRTAP19-7	1stExon	Promoter
cg06325687	OPN1MW;OPN1MW2	Body	Body
cg06327515	PCDHB14	1stExon	Promoter
cg06330324	SLC35E4	TSS200	Promoter
cg06331674	LSM5;AVL9	TSS1500;5'UTR;1stExon	Promoter
cg06333435	POLR3D;MIR320A	TSS200;5'UTR	Promoter
cg06334093	CCDC28A	TSS200	Promoter
cg06334284	PPAP2B	1stExon;5'UTR	Promoter
cg06334496	TMEM70	Body	Body
cg06335814	FAM59A	TSS1500	Promoter
cg06335889	CBFA2T2	TSS1500	Promoter
cg06336792	CREM	TSS1500	Promoter
cg06337239	DDX58	TSS1500	Promoter
cg06338119	RGAG1;AMMECR1	TSS1500;5'UTR	Promoter
cg06339657	PDE8B	TSS1500	Promoter
cg06339706	PLEKHA4	5'UTR	Promoter
cg06340713	CHM	TSS1500	Promoter
cg06344807	SLC9A3R1	Body	Body
cg06346081	ZMYND12;PPCS	TSS1500;5'UTR;1stExon	Promoter
cg06347928	IFIH1	TSS200	Promoter
cg06347996	DPYD	TSS1500	Promoter
cg06349174	STIM1	1stExon;5'UTR	Promoter
cg06350796	NUP62CL;CXorf41	1stExon;TSS200;5'UTR	Promoter
cg06351503	RDBP;SKIV2L	Body;TSS1500	Promoter
cg06352750	SDPR	1stExon;5'UTR	Promoter
cg06353318	OTOP2;USH1G	TSS1500;1stExon;5'UTR	Promoter
cg06353720	IFIT3	TSS200	Promoter
cg06356454	AQP12A	Body	Body
cg06357925	PTPRO	TSS200	Promoter
cg06358566	RPIA	1stExon	Promoter
cg06361108	CCNF	TSS1500	Promoter
cg06362985	RAB3IP	TSS1500	Promoter
cg06363129	SOSTDC1	TSS200	Promoter
cg06363801	MOSPD1	1stExon;5'UTR	Promoter
cg06366981	HPGD	Body	Body
cg06367117	ALDOC	1stExon;5'UTR	Promoter
cg06369854	VDR	TSS1500	Promoter
cg06374075	ADAM11	Body	Body
cg06376129	DSTYK	1stExon	Promoter
cg06377278	RUNX3	Body;1stExon;5'UTR	Promoter
cg06378107	TMEM133	1stExon	Promoter
cg06378617	KRT23	TSS1500	Promoter
cg06378976	TFEB	TSS1500;5'UTR	Promoter
cg06379754	CACNA2D1	TSS1500	Promoter
cg06380007	INO80	5'UTR	Promoter
cg06382459	SKI	TSS1500	Promoter
cg06382698	ASB3;ERLEC1;LOC100302652	Body;TSS1500	Promoter
cg06383088	XPA	Body;1stExon;5'UTR	Promoter
cg06384026	PPFIA1	5'UTR	Promoter
cg06384463	BARHL2	1stExon	Promoter
cg06384491	SPIN2A	1stExon;5'UTR	Promoter
cg06385087	CTSZ	Body	Body
cg06386517	GRB10	5'UTR	Promoter
cg06386533	SOCS5	TSS1500	Promoter
cg06388544	RHD	TSS200	Promoter
cg06391468	SOX9	1stExon;5'UTR	Promoter
cg06391660	DCTN1	TSS1500	Promoter
cg06392241	NUDT4;NUDT4P1	TSS1500	Promoter
cg06392426	KRI1	Body	Body
cg06392589	IL20RB	1stExon;5'UTR	Promoter
cg06393290	FGFRL1	TSS1500	Promoter
cg06394229	LGALS4	TSS200	Promoter
cg06394897	AK2	1stExon;5'UTR	Promoter
cg06397510	PTP4A2	1stExon;5'UTR	Promoter
cg06397837	HOXA13	TSS1500	Promoter
cg06399881	TMPRSS11B	1stExon;5'UTR	Promoter
cg06403126	PPP2R2A	1stExon;5'UTR	Promoter
cg06403553	PGK2	1stExon	Promoter
cg06405206	NXPH3	TSS1500	Promoter
cg06407137	CD300LB	1stExon	Promoter
cg06409153	ABCA5	TSS1500	Promoter
cg06414605	HES1	TSS200	Promoter
cg06415153	PITPNM2	5'UTR	Promoter
cg06416685	TSPAN6	1stExon;5'UTR	Promoter
cg06417225	PEBP1	TSS1500	Promoter
cg06417705	ETAA1	1stExon	Promoter
cg06417962	RNH1	TSS1500	Promoter
cg06418184	DCTN3	TSS200	Promoter
cg06418219	SHC1;CKS1B	Body;TSS1500	Promoter
cg06418878	BUD13	Body	Body
cg06419771	EHD4	TSS200	Promoter
cg06420088	MUC1;MIR92B	TSS1500	Promoter
cg06421707	PYGB	TSS1500	Promoter
cg06422693	OCIAD1	Body;5'UTR	Promoter
cg06422910	COPG2	Body	Body
cg06423920	FEZF2	TSS1500	Promoter
cg06424894	SORD	TSS1500	Promoter
cg06425556	NCOA6	TSS1500	Promoter
cg06425868	SNX21	Body	Body
cg06426831	SLC35A3	TSS1500	Promoter
cg06428055	ELF4	5'UTR	Promoter
cg06428195	GOT1	TSS1500	Promoter
cg06429195	DAZL	Body	Body
cg06433658	FAM63A	1stExon;5'UTR	Promoter
cg06433995	NOL7	1stExon;5'UTR	Promoter
cg06434428	HAPLN1	1stExon;5'UTR	Promoter
cg06434451	MARCKSL1	TSS1500	Promoter
cg06434470	DPP6	Body	Body
cg06435786	INPP4A	5'UTR	Promoter
cg06436504	FILIP1L;C3orf26	Body;TSS1500;TSS200	Promoter
cg06437004	LDHB	5'UTR	Promoter
cg06438300	FAM19A2	TSS200	Promoter
cg06438404	COX4I1;COX4NB	TSS1500;1stExon	Promoter
cg06440646	SMAD1	TSS1500;5'UTR	Promoter
cg06444781	HNF1A	TSS200	Promoter
cg06445611	GABRR2	TSS200	Promoter
cg06449653	HNRNPR	1stExon;5'UTR	Promoter
cg06452064	TRA2A	Body	Body
cg06452647	MCRS1	5'UTR	Promoter
